,Unnamed: 0,Movie Title,Movie Rating,Movie Genre,Review Date,Review Title,Review Content,ReviewerRating,Manual_Combined,Rating_scaled
0,0,Lightyear,6.1,Animation Action Adventure,17-Jul-22,Really don't get the hate,It wasn't the best Pixar film but it definitely wasn't the worst. Why it gets such a low score on here I'll never know. I'll admit the trailer did make it look better than it actually was but it was still decent and funny.,7,0,1
1,1,Lightyear,6.1,Animation Action Adventure,19-Nov-22,"It's an okay product, but wrong I.P.","""In 1995, Andy got a toy. That toy was based on a movie. This is that movie. ""

I think I would've gotten more out of this if they'd left out that opening text. ""Lightyear"" is a decent space adventure movie, the visuals are pretty great and Chris Evans gives a strong performance.

But the idea that the Tim Allen Buzz we all know and love came from this movie . . . Eh, I just couldn't get there. There's a bigger ""Top Gun"" vibe going on here than anything ""Toy Story"" related and ""Maverick"" did a much better job of living with failure.

I admit I walked into this with low expectations (really, was anyone asking for this movie?) but the Toy Story association is totally forced.",6,0,0
2,2,Lightyear,6.1,Animation Action Adventure,16-Jun-22,No signs of intelligent life anywhere....,"6.4/10

The nostalgia was there for ten minutes and then it went away as the story trails away into something that just didn't sit right. While we never got firm info about Buzz's origins in the ""Toy Story"" films. This isn't what I expected for his story. I expected this to be an emotional journey, but there were maybe three moments where a tear was shed. The rest was just ""empty"" space.

The voice acting was good. Chris Evans sounded like Buzz and brought the character to life. The surrounding characters were just as enjoyable. Definitely some funny moments amongst them. I did get a few laughs out, but it felt forced sometimes to be able to enjoy the film.

The film definitely looked, and sounded, great, but it didn't do enough to grasp a love for the character, or the story. Honestly, I don't think this film was for adults to reach back to the childhood nostalgia, but rather its for a new generation to make the character it's own meaning. Flip side to Buzz was Zurg. Zurg was perhaps the biggest disappointment with how they portrayed him. Who he was in ""Toy Story"" is not the same as who is here, and again, it didn't sit right.

I think the biggest thing is to forget the trailer. Go in with an open-mind and make of it what you will. The kids in the theatre seemed to have loved.

Overall, not the outstanding film I was expecting even with all the great visual and sound. The story lacked expectations for a nostalgic character, but wasn't necessarily terrible, so again, go in with an open-mind.

Thank you for reading my review. Until next time.... Enjoy the show!",6,-1,0
3,3,Lightyear,6.1,Animation Action Adventure,30-Jun-22,The movie is ok. Many of this film's reviewers seem nuts,"This film seems to spark a lot of people to say that this film is completely terrible or that it's completely fabulous because it included a gay relationship in the periphery of the main story, and to an even lesser extent, a convict character who is sympathetic. So. I'll address that quickly: None of that seemed like a big selling-point or issue with the movie to me. And those reviewer who make the movie all about those things seem to say more about themself in their review than the movie itself.

Overall I found the movie better than what I was expecting based on it's IMDB score, but still far from being a Pixar classic.

The animation is very good, the story is solid even if it feels like a lot of the ideas have been done before in different ways and feels like a few ideas didn't quite work as well as possible. In some ways it reminded me of an inferior ""Up"". The main protagonist's circumstance were less sympathetic and more a result of his actual decisions. Overall I wonder how the movie would have looked if it had explored a B storyline for another character during some of the time-jumps. I also think the twist could have been established a little better than it was.

The voice acting for the film is fine. I didn't think a lot of the comedy landed well for me. But it wasn't awful like a lot of kids movies either and didn't detract much from the drama of the main story. Overall it will be acceptable to most audiences, with the robot cat being a likely favorite character for many viewers. Most kids will probably like it a bit more than adults and not notice or care much about the politically controversial content unless their guardians have already primed them to have an major opinion about it like them.

I'd say it's a good time at the theater and better than the average score right now of 5.8. But don't expect it to be a classic Pixar film like Coco, Up, Walle, or Toy Story 1-3.",7,0,1
4,4,Lightyear,6.1,Animation Action Adventure,16-Jun-22,This isn't as bad as everyone is claiming!,"I don't get the bad reviews! The score at the time of writing is pretty horrible, and I don't understand. This isn't the best from Disney and Pixar, but it is a great addition and a clever way to tell a new story set in the Toy Story universe. It brings great animation and the array of emotion that we have come to love from the studio.

The movie lightyear is the movie that got Andy excited for the new Buzz lightyear toy in the universe of toy story. A great sci-fi action flick for both children and adults with a story of friendship, acceptance and the importance of taking a step back from time to time. Chris Evans as Buzz does a great job of capturing the essence of the iconic voice delivered by Tim Allen in the original. The side characters are great and have some fun dialogue and one liners, especially the cat Sox is amazing and next to every single joke made the theater laugh.

The animation and story is great, but it does feel a bit safe. The animation is stunning but a bit bland at times, and it isn't as colorful compared to other movies, and it doesn't have a distinct style, but stays inside a boundary. The story is good and does have quite a few tear pressers, but it is something you will have seen in other movies before.

Lightyear feels safe, not as exploratory and daring as previous Pixar films, but it is a good movie worth watching, especially if you love the original movies. All around it's a fun and entertaining movie, with great humor and a few heart wrenching moments.

7/10.",7,0,1
5,5,Lightyear,6.1,Animation Action Adventure,16-Jun-22,Not good,"This movie isn't terrible. But it's not good. As a comedy it fails. I laughed only a few times, almost exclusively at the cat. Most of the jokes were crickets in my audience and a bunch made me roll my eyes.

As a sci-fi movie it fails. It gives us the most basic child version of several sci-fi concepts stolen from other movies like Interstellar. And if you think for more than a few seconds, so much of it doesn't make sense. There was a cool fight scene and a couple of good action moments, but for the most part I found myself not caring about the action.

The movie does this thing where it keeps throwing a wrench in the plan, creating obstacles that the characters must overcome. This is normally a good strategy and makes any later success feel earned and satisfying. But every obstacle is a result of dumb characters, silly mistakes, or simply being clumsy. This makes it hard to stay invested. When this strategy is executed better, there is a much better reason for the obstacles, such as a really smart antagonist.

Late in the movie, it goes in a direction that I wasn't a fan of. And we get a few ridiculously cheesy moments, one that made me cringe so hard it hurt. The great animation doesn't make this worth watching.

P. S. The mid- and post-credits scenes are absolutely not worth the wait. (1 viewing, early screening IMAX 6/15/2022)",4,-1,-1
6,6,Lightyear,6.1,Animation Action Adventure,24-Jul-22,Pretty good,Wow I just can't believe the bad reviews. I use imdb scores and written reviews religiously and 95% of the time u think they are spot on. I watched this with my family and we were all very entertained throughout the entire movie. That should say enough. It was pretty well done and interesting.,8,1,1
7,7,Lightyear,6.1,Animation Action Adventure,20-Jun-22,Mediocre,"I enjoyed the first thirty minutes or so of Lightyear. The pacing was decent and the humor/heart was in the right place. Once the twist in the trailer happens the story becomes a beautifully predictable entry for Pixar, and my five year old became incredibly antsy to leave the theater. Socks steals the show but that isn't enough to enliven a boring plot. Wait for Lightyear to stream on Disney+.",4,0,-1
8,8,Lightyear,6.1,Animation Action Adventure,17-Jun-22,Great sci-fi adventure,"It may be Pixar's most straightforward film so far but that doesn't stop Lightyear from being another gorgeously animated installment and a great sci-fi adventure that's thrilling, funny and emotional, with the odd twist and heartfelt message up its sleeve as well.

Chris Evans gives an incredible lead performance as Buzz, honouring what's come before but still finding his own interpretation. Keke Palmer is full of likeable innocence and Taika is great as himself. The standout by far is Peter Sohn as Sox, endlessly adorable and always funny.

The animation is absolutely phenomenal with a lot of it bordering on photo real. Angus MacLane's direction is excellent, there's a clear love for sci-fi present and the world is satisfyingly clunky in the technology. The music by Michael Giacchino is really good, nothing too memorable but still suitably epic and futuristic.",8,1,1
9,9,Lightyear,6.1,Animation Action Adventure,18-Nov-22,"An ok, generic, kids sci-fi movie","First off, for better or worse, this has nothing to do with Toy Story - absolutely nothing.

That out the way this is a well made animated movie about Buzz trying to get home.

There are some really clever ideas here - the main aspect here is that Buzz experiences time dilation every time he attempts a test flight - flinging him into the future.

There are some nice characters and some touching moments as Buzz lives his life outside time.

For the first third of this film I was really engaged and settled down to enjoy this.

Unfortunately, outside of the time dilation, this film is very empty.

The characters run around waving their hands in the air screaming, not really doing much.

When it all comes to the crunch the ending is predictable (I can forgive that) but makes no sense - on any level really.

All that running around is revealed as even more pointless than it first appeared.

This is fine.

You can stick it on and watch it with the kids. There are a few jokes that land and the cat is cute. But in a months time you will probably struggle to remember if you watched this.",6,0,0
10,10,Lightyear,6.1,Animation Action Adventure,16-Jun-22,It's a mindless action-adventure film and I loved it!,"It's not bad at all.

A side movie within a movie as the text at the beginning states that this movie was released in 1995 to sell the Buzz Lightyear toy in Toy Story.

If you're looking for any Toy Story references or expecting this film to be like Toy Story, think again. In fact, as a Pixar movie, it a little subpair in the usual Disney formula.

What it had going for it is that it's a fast-paced exciting, animated film from beginning to end. It never stops being charming.

I don't know why they decided to replace Tim Allen after 25 years of being Buzz, but I'm not mad at all at what Chris Evans did with the character. KeKe Palmer was also a good voice over but not as good as Uzo Aduba who killed it.

It may not impress Toy Story fan but if you think about as its own thing which in every way that matters it is than it works greatly.

For what it was I enjoyed myself. So worth the ticket price.",7,1,1
11,11,Lightyear,6.1,Animation Action Adventure,20-Jul-22,Solid Pixar movie,"This doesn't feed on my nostalgia for Toy Story. This doesn't feed on my nostalgia for Buzz Lightyear of the Star Command animated series either. But it really seems that, other than the bigots who hate this for their made-up offensive content everyone who hated this didn't like the idea of not catering to nostalgia.

Lightyear is a solid Pixar movie. Simple and entertaining with some important themes. My biggest surprise was Sox the robocat who I thought would be obnoxious from the trailers but was fabulous in the movie.",7,1,1
12,12,Lightyear,6.1,Animation Action Adventure,28-Oct-22,Lightyear is a decent film that overshoots its primary audience and crash lands as a decent movie but with a confused plot focused on adults rather than children.,"Lightyear is a confusing film. It's definitely not bad. It fills its runtime with funny characters and engaging conflict, but the story is a bad choice for a kids' movie. It borrowed Interstellar's time dilation concept and mixed it with an evil future self plot which felt out of place and left my toddler disengaged. I was guessing that Zurg would end up being the rookie from the beginning but who Zurg ended up being was disappointing. I did enjoy the film, but its themes and script felt like a space adventure written for adults shoved into Pixar animated packaging. Lightyear's identity crisis distracted some from the overall film, and its story bit off a bit more than it could chew.",6,0,0
